CO2 emissions (kg per 2005 PPP $ of GDP),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.994394656,1.71155166,1.743214923,1.490900396,1.594292538,1.424002881,1.244810803,1.125189645,1.032626059,0.977632817,0.876609206,0.924685806,0.876446931,0.783933939,0.688051906,0.757716815,0.731680554,,,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,0.08577785,0.067464993,0.077606314,0.072099638,0.088470228,0.09844081,0.100772318,0.103828186,0.110207783,0.114518473,0.121971615,0.132734139,0.204178358,0.115093949,0.07772822,0.119782987,0.133159025,0.162178806,0.155679785,0.168612195,0.115052358,0.11786907,0.132993055,0.123002576,0.116212049,0.114517443,0.112424435,0.109928234,,,
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,0.364707582,0.466284837,0.384979431,0.341338317,0.256771148,0.267497155,0.259256184,0.218731583,0.251659893,0.266811802,0.326960873,0.277265545,0.284048626,0.293421332,0.299030132,0.312390641,0.309168392,0.260707098,0.247415066,0.259400033,0.273186047,0.348748145,0.258420308,0.494228566,0.534771516,0.459903194,0.432338856,0.406434298,0.345678361,,,
Finland,,,,,,,,,,,,,,,,,,,,,0.68208745,0.598089847,0.482919632,0.453243268,0.444581341,0.505016705,0.531415392,0.555976729,0.47593189,0.457053167,0.441472,0.50606113,0.469270095,0.500156296,0.551993745,0.467641431,0.529679058,0.488152601,0.440829296,0.412591587,0.368539197,0.389907827,0.414462609,0.458243016,0.427837827,0.338959471,0.392834874,0.36078871,0.318026603,,,
France,,,,,,,,,,,,,,,,,,,,,0.452064208,0.402800848,0.377891667,0.361083064,0.341235226,0.332130562,0.312434649,0.298719172,0.281402928,0.283474182,0.282161636,0.29930235,0.273818984,0.270151747,0.250872398,0.261697312,0.268701178,0.244506222,0.25496907,0.224044168,0.212745722,0.220482773,0.215417923,0.217257154,0.213266465,0.210580077,0.200503924,0.191923339,0.193465218,,,
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,,,,,,,,,,,,,,,,,,,,,0.571395313,0.538883617,0.554558435,0.441996157,0.446637643,0.4819198,0.382061139,0.373324885,0.356462714,0.437310895,0.348902993,0.100309107,0.14922566,0.221146622,0.217756587,0.238758987,0.211133075,0.200296386,0.089075716,0.086163345,0.064294522,0.106602617,0.106668239,0.078122481,0.085555775,0.10010797,0.09873615,0.103742485,0.126786627,,,
Gambia,,,,,,,,,,,,,,,,,,,,,0.207107257,0.200448568,0.206690482,0.186403738,0.192314278,0.193889174,0.174379288,0.189543097,0.185123659,0.171320599,0.175561591,0.17682009,0.171041141,0.17526429,0.174994193,0.179550972,0.175645417,0.167440819,0.17548862,0.180395374,0.18320451,0.177778793,0.205228045,0.192035225,0.183560169,0.185190347,0.190729653,0.212883362,0.209373237,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.196755958,1.098530219,0.749446297,0.276507189,0.439110208,0.433501151,0.470135837,0.400274855,0.410297,0.325340315,0.277250274,0.278013026,0.273349513,0.300639434,0.319132039,0.311544942,0.262824607,,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.444733722,0.421556836,0.418071416,0.404493918,0.396898978,0.40360848,0.386542701,0.377460381,0.341123702,0.334067937,0.338439926,0.328579703,0.331702942,0.325095621,0.31550952,0.305110736,0.286483357,0.283206155,,,
Ghana,,,,,,,,,,,,,,,,,,,,,0.23604492,0.291223724,0.312510401,0.393340006,0.255638115,0.313395067,0.272944043,0.280828037,0.2792173,0.257515399,0.292942031,0.286291864,0.279098276,0.303125629,0.319049013,0.327940008,0.332575642,0.354555909,0.339415267,0.332736007,0.308129914,0.325423764,0.333689257,0.325195582,0.294877698,0.268068712,0.336189382,0.325449636,0.267595768,,,
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,,,,,,,,,,,,,,,,,,,,,0.312954621,0.313519223,0.326029146,0.351044974,0.353486308,0.366264063,0.355536272,0.390462008,0.401057089,0.42157182,0.41327792,0.372695706,0.413279535,0.420795058,0.427362888,0.422961493,0.419530973,0.425836274,0.427751809,0.408081679,0.413044163,0.405879043,0.391816823,0.378001889,0.367523976,0.36497231,0.340934025,0.334172835,0.333335723,,,
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,,,,,,,,,,,,,,,,,,,,,0.132870964,0.162151489,0.164198438,0.159530423,0.152245855,0.149148134,0.153090799,0.151507142,0.186435859,0.188317948,0.196911824,0.192490494,0.204763559,0.234351195,0.263159374,0.268141255,0.263168569,0.29350288,0.25580393,0.250272468,0.222234027,0.247801951,0.238562513,0.231172348,0.235208683,0.227725183,0.243089307,0.229856175,0.226592994,,,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
